country,year,oil_proved_reserves_history,region
Chad,2008,1.5, Africa
Chad,2009,1.5, Africa
Chad,2010,1.5, Africa
Chad,2011,1.5, Africa
Chad,2012,1.5, Africa
Chad,2013,1.5, Africa
Chad,2014,1.5, Africa
Chad,2015,1.5, Africa
Chad,2016,1.5, Africa
Chad,2017,1.5, Africa
Chad,2018,1.5, Africa
Egypt,1980,2.92, Africa
Egypt,1981,3.53, Africa
Egypt,1982,3.7, Africa
Egypt,1983,3.96, Africa
Egypt,1984,4.03, Africa
Egypt,1985,3.8, Africa
Egypt,1986,4.5, Africa
Egypt,1987,4.68, Africa
Egypt,1988,4.27, Africa
Egypt,1989,4.3, Africa
Egypt,1990,3.46, Africa
Egypt,1991,3.54, Africa
Egypt,1992,3.44, Africa
Egypt,1993,3.42, Africa
Egypt,1994,3.94, Africa
Egypt,1995,3.8, Africa
Egypt,1996,3.84, Africa
Egypt,1997,3.72, Africa
Egypt,1998,3.76, Africa
Egypt,1999,3.77, Africa
Egypt,2000,3.63, Africa
Egypt,2001,3.67, Africa
Egypt,2002,3.52, Africa
Egypt,2003,3.52, Africa
Egypt,2004,3.62, Africa
Egypt,2005,3.72, Africa
Egypt,2006,3.72, Africa
Egypt,2007,4.07, Africa
Egypt,2008,4.2, Africa
Egypt,2009,4.4, Africa
Egypt,2010,4.5, Africa
Egypt,2011,4.3, Africa
Egypt,2012,4.2, Africa
Egypt,2013,3.9, Africa
Egypt,2014,3.68, Africa
Egypt,2015,3.47, Africa
Egypt,2016,3.38, Africa
Egypt,2017,3.33, Africa
Egypt,2018,3.33, Africa
Equatorial Guinea,1980,, Africa
Equatorial Guinea,1981,, Africa
Equatorial Guinea,1982,, Africa
Equatorial Guinea,1983,, Africa
Equatorial Guinea,1984,, Africa
Equatorial Guinea,1985,, Africa
Equatorial Guinea,1986,, Africa
Equatorial Guinea,1987,, Africa
Equatorial Guinea,1988,, Africa
Equatorial Guinea,1989,, Africa
Equatorial Guinea,1990,, Africa
Equatorial Guinea,1991,0.3, Africa
Equatorial Guinea,1992,0.3, Africa
Equatorial Guinea,1993,0.3, Africa
Equatorial Guinea,1994,0.3, Africa
Equatorial Guinea,1995,0.56, Africa
Equatorial Guinea,1996,0.56, Africa
Equatorial Guinea,1997,0.56, Africa
Equatorial Guinea,1998,0.56, Africa
Equatorial Guinea,1999,0.56, Africa
Equatorial Guinea,2000,0.8, Africa
Equatorial Guinea,2001,1.11, Africa
Equatorial Guinea,2002,1.09, Africa
Equatorial Guinea,2003,1.28, Africa
Equatorial Guinea,2004,1.76, Africa
Equatorial Guinea,2005,1.8, Africa
Equatorial Guinea,2006,1.75, Africa
Equatorial Guinea,2007,1.7, Africa
Equatorial Guinea,2008,1.7, Africa
Equatorial Guinea,2009,1.7, Africa
Equatorial Guinea,2010,1.7, Africa
Equatorial Guinea,2011,1.7, Africa
Equatorial Guinea,2012,1.7, Africa
Equatorial Guinea,2013,1.7, Africa
Equatorial Guinea,2014,1.1, Africa
Equatorial Guinea,2015,1.1, Africa
Equatorial Guinea,2016,1.1, Africa
Equatorial Guinea,2017,1.1, Africa
Equatorial Guinea,2018,1.1, Africa
Gabon,1980,0.47, Africa
Gabon,1981,0.46, Africa
Gabon,1982,0.48, Africa
Gabon,1983,0.55, Africa
Gabon,1984,0.62, Africa
Gabon,1985,0.66, Africa
Gabon,1986,0.65, Africa
Gabon,1987,0.96, Africa
Gabon,1988,0.93, Africa
Gabon,1989,0.96, Africa
Gabon,1990,0.86, Africa
Gabon,1991,0.88, Africa
Gabon,1992,0.77, Africa
Gabon,1993,0.66, Africa
Gabon,1994,1.4, Africa
Gabon,1995,1.47, Africa
Gabon,1996,2.8, Africa
Gabon,1997,2.67, Africa
Gabon,1998,2.56, Africa
Gabon,1999,2.56, Africa
Gabon,2000,2.42, Africa
Gabon,2001,2.4, Africa
Gabon,2002,2.37, Africa
Gabon,2003,2.29, Africa
Gabon,2004,2.19, Africa
Gabon,2005,2.15, Africa
Gabon,2006,2.15, Africa
Gabon,2007,2, Africa
Gabon,2008,2, Africa
Gabon,2009,2, Africa
Gabon,2010,2, Africa
Gabon,2011,2, Africa
Gabon,2012,2, Africa
Gabon,2013,2, Africa
Gabon,2014,2, Africa
Gabon,2015,2, Africa
Gabon,2016,2, Africa
Gabon,2017,2, Africa
Gabon,2018,2, Africa
Libya,1980,20.33, Africa
Libya,1981,22.6, Africa
Libya,1982,22.19, Africa
Libya,1983,21.78, Africa
Libya,1984,21.43, Africa
Libya,1985,21.3, Africa
Libya,1986,22.8, Africa
Libya,1987,22.8, Africa
Libya,1988,22.8, Africa
Libya,1989,22.8, Africa
Libya,1990,22.8, Africa
Libya,1991,22.8, Africa
Libya,1992,22.8, Africa
Libya,1993,22.8, Africa
Libya,1994,22.8, Africa
Libya,1995,29.5, Africa
Libya,1996,29.5, Africa
Libya,1997,29.5, Africa
Libya,1998,29.5, Africa
Libya,1999,29.5, Africa
Libya,2000,36, Africa
Libya,2001,36, Africa
Libya,2002,36, Africa
Libya,2003,39.13, Africa
Libya,2004,39.13, Africa
Libya,2005,41.46, Africa
Libya,2006,41.46, Africa
Libya,2007,43.66, Africa
Libya,2008,44.27, Africa
Libya,2009,46.42, Africa
Libya,2010,47.1, Africa
Libya,2011,48.01, Africa
Libya,2012,48.47, Africa
Libya,2013,48.36, Africa
Libya,2014,48.36, Africa
Libya,2015,48.36, Africa
Libya,2016,48.36, Africa
Libya,2017,48.36, Africa
Libya,2018,48.36, Africa
Nigeria,1980,16.7, Africa
Nigeria,1981,16.5, Africa
Nigeria,1982,16.75, Africa
Nigeria,1983,16.55, Africa
Nigeria,1984,16.65, Africa
Nigeria,1985,16.6, Africa
Nigeria,1986,16.07, Africa
Nigeria,1987,15.98, Africa
Nigeria,1988,16, Africa
Nigeria,1989,16, Africa
Nigeria,1990,17.1, Africa
Nigeria,1991,20, Africa
Nigeria,1992,20.99, Africa
Nigeria,1993,20.99, Africa
Nigeria,1994,20.99, Africa
Nigeria,1995,20.83, Africa
Nigeria,1996,20.83, Africa
Nigeria,1997,20.83, Africa
Nigeria,1998,22.5, Africa
Nigeria,1999,29, Africa
Nigeria,2000,29, Africa
Nigeria,2001,31.51, Africa
Nigeria,2002,34.35, Africa
Nigeria,2003,35.26, Africa
Nigeria,2004,35.88, Africa
Nigeria,2005,36.22, Africa
Nigeria,2006,37.2, Africa
Nigeria,2007,37.2, Africa
Nigeria,2008,37.2, Africa
Nigeria,2009,37.2, Africa
Nigeria,2010,37.2, Africa
Nigeria,2011,36.25, Africa
Nigeria,2012,37.14, Africa
Nigeria,2013,37.07, Africa
Nigeria,2014,37.45, Africa
Nigeria,2015,37.06, Africa
Nigeria,2016,37.45, Africa
Nigeria,2017,37.45, Africa
Nigeria,2018,37.45, Africa
Other Africa,1980,0.56, Africa
Other Africa,1981,0.58, Africa
Other Africa,1982,0.65, Africa
Other Africa,1983,0.71, Africa
Other Africa,1984,0.98, Africa
Other Africa,1985,1.01, Africa
Other Africa,1986,0.98, Africa
Other Africa,1987,0.95, Africa
Other Africa,1988,0.96, Africa
Other Africa,1989,0.91, Africa
Other Africa,1990,0.89, Africa
Other Africa,1991,0.81, Africa
Other Africa,1992,0.76, Africa
Other Africa,1993,0.63, Africa
Other Africa,1994,0.58, Africa
Other Africa,1995,0.67, Africa
Other Africa,1996,0.67, Africa
Other Africa,1997,0.69, Africa
Other Africa,1998,0.7, Africa
Other Africa,1999,0.7, Africa
Other Africa,2000,0.68, Africa
Other Africa,2001,0.61, Africa
Other Africa,2002,0.57, Africa
Other Africa,2003,0.55, Africa
Other Africa,2004,0.56, Africa
Other Africa,2005,0.55, Africa
Other Africa,2006,0.65, Africa
Other Africa,2007,0.66, Africa
Other Africa,2008,0.66, Africa
Other Africa,2009,0.62, Africa
Other Africa,2010,2.27, Africa
Other Africa,2011,2.18, Africa
Other Africa,2012,3.67, Africa
Other Africa,2013,3.67, Africa
Other Africa,2014,3.75, Africa
Other Africa,2015,4.01, Africa
Other Africa,2016,3.95, Africa
Other Africa,2017,3.93, Africa
Other Africa,2018,3.93, Africa
Republic of Congo,1980,0.71, Africa
Republic of Congo,1981,0.73, Africa
Republic of Congo,1982,0.75, Africa
Republic of Congo,1983,0.74, Africa
Republic of Congo,1984,0.8, Africa
Republic of Congo,1985,0.76, Africa
Republic of Congo,1986,0.72, Africa
Republic of Congo,1987,0.7, Africa
Republic of Congo,1988,0.75, Africa
Republic of Congo,1989,0.71, Africa
Republic of Congo,1990,0.75, Africa
Republic of Congo,1991,0.7, Africa
Republic of Congo,1992,0.72, Africa
Republic of Congo,1993,0.65, Africa
Republic of Congo,1994,1.41, Africa
Republic of Congo,1995,1.35, Africa
Republic of Congo,1996,1.6, Africa
Republic of Congo,1997,1.62, Africa
Republic of Congo,1998,1.7, Africa
Republic of Congo,1999,1.7, Africa
Republic of Congo,2000,1.65, Africa
Republic of Congo,2001,1.57, Africa
Republic of Congo,2002,1.51, Africa
Republic of Congo,2003,1.51, Africa
Republic of Congo,2004,1.51, Africa
Republic of Congo,2005,1.51, Africa
Republic of Congo,2006,1.6, Africa
Republic of Congo,2007,1.6, Africa
Republic of Congo,2008,1.6, Africa
Republic of Congo,2009,1.6, Africa
Republic of Congo,2010,1.6, Africa
Republic of Congo,2011,1.6, Africa
Republic of Congo,2012,1.6, Africa
Republic of Congo,2013,1.6, Africa
Republic of Congo,2014,1.6, Africa
Republic of Congo,2015,1.6, Africa
Republic of Congo,2016,1.6, Africa
Republic of Congo,2017,1.6, Africa
Republic of Congo,2018,1.6, Africa
South Sudan,1980,, Africa
South Sudan,1981,, Africa
South Sudan,1982,, Africa
South Sudan,1983,, Africa
South Sudan,1984,, Africa
South Sudan,1985,, Africa
South Sudan,1986,, Africa
South Sudan,1987,, Africa
South Sudan,1988,, Africa
South Sudan,1989,, Africa
South Sudan,1990,, Africa
South Sudan,1991,, Africa
South Sudan,1992,, Africa
South Sudan,1993,, Africa
South Sudan,1994,, Africa
South Sudan,1995,, Africa
South Sudan,1996,, Africa
South Sudan,1997,, Africa
South Sudan,1998,, Africa
South Sudan,1999,, Africa
South Sudan,2000,, Africa
South Sudan,2001,, Africa
South Sudan,2002,, Africa
South Sudan,2003,, Africa
South Sudan,2004,, Africa
South Sudan,2005,, Africa
South Sudan,2006,, Africa
South Sudan,2007,, Africa
South Sudan,2008,, Africa
South Sudan,2009,, Africa
South Sudan,2010,, Africa
South Sudan,2011,, Africa
South Sudan,2012,3.5, Africa
South Sudan,2013,3.5, Africa
South Sudan,2014,3.5, Africa
South Sudan,2015,3.5, Africa
South Sudan,2016,3.5, Africa
South Sudan,2017,3.5, Africa
South Sudan,2018,3.5, Africa
Sudan,1980,0, Africa
Sudan,1981,0.2, Africa
Sudan,1982,0.4, Africa
Sudan,1983,0.3, Africa
Sudan,1984,0.3, Africa
Sudan,1985,0.3, Africa
Sudan,1986,0.3, Africa
Sudan,1987,0.3, Africa
Sudan,1988,0.3, Africa
Sudan,1989,0.3, Africa
Sudan,1990,0.3, Africa
Sudan,1991,0.3, Africa
Sudan,1992,0.3, Africa
Sudan,1993,0.3, Africa
Sudan,1994,0.3, Africa
Sudan,1995,0.3, Africa
Sudan,1996,0.3, Africa
Sudan,1997,0.26, Africa
Sudan,1998,0.26, Africa
Sudan,1999,0.26, Africa
Sudan,2000,0.26, Africa
Sudan,2001,0.56, Africa
Sudan,2002,0.56, Africa
Sudan,2003,0.56, Africa
Sudan,2004,0.56, Africa
Sudan,2005,0.56, Africa
Sudan,2006,5, Africa
Sudan,2007,5, Africa
Sudan,2008,5, Africa
Sudan,2009,5, Africa
Sudan,2010,5, Africa
Sudan,2011,5, Africa
Sudan,2012,1.5, Africa
Sudan,2013,1.5, Africa
Sudan,2014,1.5, Africa
Sudan,2015,1.5, Africa
Sudan,2016,1.5, Africa
Sudan,2017,1.5, Africa
Sudan,2018,1.5, Africa
Tunisia,1980,2.18, Africa
Tunisia,1981,2.49, Africa
Tunisia,1982,2.45, Africa
Tunisia,1983,2.52, Africa
Tunisia,1984,1.82, Africa
Tunisia,1985,1.78, Africa
Tunisia,1986,1.75, Africa
Tunisia,1987,1.73, Africa
Tunisia,1988,1.79, Africa
Tunisia,1989,1.8, Africa
Tunisia,1990,1.74, Africa
Tunisia,1991,0.4, Africa
Tunisia,1992,0.47, Africa
Tunisia,1993,0.37, Africa
Tunisia,1994,0.34, Africa
Tunisia,1995,0.38, Africa
Tunisia,1996,0.34, Africa
Tunisia,1997,0.31, Africa
Tunisia,1998,0.29, Africa
Tunisia,1999,0.31, Africa
Tunisia,2000,0.43, Africa
Tunisia,2001,0.53, Africa
Tunisia,2002,0.5, Africa
Tunisia,2003,0.65, Africa
Tunisia,2004,0.68, Africa
Tunisia,2005,0.56, Africa
Tunisia,2006,0.6, Africa
Tunisia,2007,0.6, Africa
Tunisia,2008,0.58, Africa
Tunisia,2009,0.42, Africa
Tunisia,2010,0.42, Africa
Tunisia,2011,0.42, Africa
Tunisia,2012,0.42, Africa
Tunisia,2013,0.42, Africa
Tunisia,2014,0.42, Africa
Tunisia,2015,0.42, Africa
Tunisia,2016,0.42, Africa
Tunisia,2017,0.42, Africa
Tunisia,2018,0.42, Africa
Australia,1980,2.12, Asia Pacific
Australia,1981,2.62, Asia Pacific
Australia,1982,2.93, Asia Pacific
Australia,1983,2.49, Asia Pacific
Australia,1984,2.56, Asia Pacific
Australia,1985,2.46, Asia Pacific
Australia,1986,2.87, Asia Pacific
Australia,1987,2.91, Asia Pacific
Australia,1988,3.19, Asia Pacific
Australia,1989,3.1, Asia Pacific
Australia,1990,3.16, Asia Pacific
Australia,1991,3.23, Asia Pacific
Australia,1992,3.22, Asia Pacific
Australia,1993,3.26, Asia Pacific
Australia,1994,3.82, Asia Pacific
Australia,1995,3.8, Asia Pacific
Australia,1996,3.82, Asia Pacific
Australia,1997,4.04, Asia Pacific
Australia,1998,4.77, Asia Pacific
Australia,1999,4.74, Asia Pacific
Australia,2000,4.94, Asia Pacific
Australia,2001,4.96, Asia Pacific
Australia,2002,4.57, Asia Pacific
Australia,2003,3.75, Asia Pacific
Australia,2004,3.89, Asia Pacific
Australia,2005,3.72, Asia Pacific
Australia,2006,3.51, Asia Pacific
Australia,2007,3.43, Asia Pacific
Australia,2008,4.24, Asia Pacific
Australia,2009,4.06, Asia Pacific
Australia,2010,3.83, Asia Pacific
Australia,2011,3.87, Asia Pacific
Australia,2012,3.92, Asia Pacific
Australia,2013,3.96, Asia Pacific
Australia,2014,3.98, Asia Pacific
Australia,2015,3.98, Asia Pacific
Australia,2016,3.98, Asia Pacific
Australia,2017,3.99, Asia Pacific
Australia,2018,4, Asia Pacific
Brunei,1980,1.29, Asia Pacific
Brunei,1981,1.5, Asia Pacific
Brunei,1982,1.45, Asia Pacific
Brunei,1983,1.53, Asia Pacific
Brunei,1984,1.47, Asia Pacific
Brunei,1985,1.44, Asia Pacific
Brunei,1986,1.48, Asia Pacific
Brunei,1987,1.6, Asia Pacific
Brunei,1988,1.2, Asia Pacific
Brunei,1989,1.15, Asia Pacific
Brunei,1990,1.12, Asia Pacific
Brunei,1991,1.15, Asia Pacific
Brunei,1992,1.13, Asia Pacific
Brunei,1993,1.25, Asia Pacific
Brunei,1994,1.19, Asia Pacific
Brunei,1995,1.12, Asia Pacific
Brunei,1996,1.09, Asia Pacific
Brunei,1997,1.06, Asia Pacific
Brunei,1998,1.02, Asia Pacific
Brunei,1999,1.3, Asia Pacific
Brunei,2000,1.23, Asia Pacific
Brunei,2001,1.16, Asia Pacific
Brunei,2002,1.1, Asia Pacific
Brunei,2003,1.05, Asia Pacific
Brunei,2004,1.12, Asia Pacific
Brunei,2005,1.1, Asia Pacific
Brunei,2006,1.2, Asia Pacific
Brunei,2007,1.08, Asia Pacific
Brunei,2008,1.08, Asia Pacific
Brunei,2009,1.1, Asia Pacific
Brunei,2010,1.1, Asia Pacific
Brunei,2011,1.1, Asia Pacific
Brunei,2012,1.1, Asia Pacific
Brunei,2013,1.1, Asia Pacific
Brunei,2014,1.1, Asia Pacific
Brunei,2015,1.1, Asia Pacific
Brunei,2016,1.1, Asia Pacific
Brunei,2017,1.1, Asia Pacific
Brunei,2018,1.1, Asia Pacific
China,1980,13.35, Asia Pacific
China,1981,13.29, Asia Pacific
China,1982,13.26, Asia Pacific
China,1983,14.88, Asia Pacific
China,1984,16.36, Asia Pacific
China,1985,17.09, Asia Pacific
China,1986,17.16, Asia Pacific
China,1987,17.42, Asia Pacific
China,1988,17.28, Asia Pacific
China,1989,16.06, Asia Pacific
China,1990,16.02, Asia Pacific
China,1991,15.51, Asia Pacific
China,1992,15.19, Asia Pacific
China,1993,16.44, Asia Pacific
China,1994,16.26, Asia Pacific
China,1995,16.36, Asia Pacific
China,1996,16.44, Asia Pacific
China,1997,17.02, Asia Pacific
China,1998,17.42, Asia Pacific
China,1999,15.11, Asia Pacific
China,2000,15.19, Asia Pacific
China,2001,15.41, Asia Pacific
China,2002,15.51, Asia Pacific
China,2003,15.48, Asia Pacific
China,2004,18.26, Asia Pacific
China,2005,18.25, Asia Pacific
China,2006,20.22, Asia Pacific
China,2007,20.76, Asia Pacific
China,2008,21.19, Asia Pacific
China,2009,21.62, Asia Pacific
China,2010,23.27, Asia Pacific
China,2011,23.75, Asia Pacific
China,2012,24.43, Asia Pacific
China,2013,24.68, Asia Pacific
China,2014,25.17, Asia Pacific
China,2015,25.63, Asia Pacific
China,2016,25.66, Asia Pacific
China,2017,25.95, Asia Pacific
China,2018,25.95, Asia Pacific
India,1980,2.76, Asia Pacific
India,1981,3.48, Asia Pacific
India,1982,3.5, Asia Pacific
India,1983,3.62, Asia Pacific
India,1984,3.76, Asia Pacific
India,1985,3.76, Asia Pacific
India,1986,4.63, Asia Pacific
India,1987,4.42, Asia Pacific
India,1988,4.46, Asia Pacific
India,1989,4.35, Asia Pacific
India,1990,5.56, Asia Pacific
India,1991,6.13, Asia Pacific
India,1992,5.91, Asia Pacific
India,1993,5.86, Asia Pacific
India,1994,5.81, Asia Pacific
India,1995,5.51, Asia Pacific
India,1996,5.49, Asia Pacific
India,1997,5.63, Asia Pacific
India,1998,5.39, Asia Pacific
India,1999,4.97, Asia Pacific
India,2000,5.29, Asia Pacific
India,2001,5.51, Asia Pacific
India,2002,5.58, Asia Pacific
India,2003,5.73, Asia Pacific
India,2004,5.57, Asia Pacific
India,2005,5.92, Asia Pacific
India,2006,5.69, Asia Pacific
India,2007,5.46, Asia Pacific
India,2008,5.8, Asia Pacific
India,2009,5.82, Asia Pacific
India,2010,5.83, Asia Pacific
India,2011,5.7, Asia Pacific
India,2012,5.72, Asia Pacific
India,2013,5.71, Asia Pacific
India,2014,5.74, Asia Pacific
India,2015,4.79, Asia Pacific
India,2016,4.68, Asia Pacific
India,2017,4.55, Asia Pacific
India,2018,4.48, Asia Pacific
Indonesia,1980,11.6, Asia Pacific
Indonesia,1981,11.02, Asia Pacific
Indonesia,1982,10.53, Asia Pacific
Indonesia,1983,10.08, Asia Pacific
Indonesia,1984,9.61, Asia Pacific
Indonesia,1985,9.18, Asia Pacific
Indonesia,1986,9, Asia Pacific
Indonesia,1987,9, Asia Pacific
Indonesia,1988,9, Asia Pacific
Indonesia,1989,5.11, Asia Pacific
Indonesia,1990,5.42, Asia Pacific
Indonesia,1991,5.91, Asia Pacific
Indonesia,1992,5.6, Asia Pacific
Indonesia,1993,5.17, Asia Pacific
Indonesia,1994,4.98, Asia Pacific
Indonesia,1995,4.98, Asia Pacific
Indonesia,1996,4.73, Asia Pacific
Indonesia,1997,4.87, Asia Pacific
Indonesia,1998,5.1, Asia Pacific
Indonesia,1999,5.2, Asia Pacific
Indonesia,2000,5.12, Asia Pacific
Indonesia,2001,5.1, Asia Pacific
Indonesia,2002,4.72, Asia Pacific
Indonesia,2003,4.73, Asia Pacific
Indonesia,2004,4.3, Asia Pacific
Indonesia,2005,4.19, Asia Pacific
Indonesia,2006,4.37, Asia Pacific
Indonesia,2007,3.99, Asia Pacific
Indonesia,2008,3.75, Asia Pacific
Indonesia,2009,4.3, Asia Pacific
Indonesia,2010,4.23, Asia Pacific
Indonesia,2011,3.74, Asia Pacific
Indonesia,2012,3.74, Asia Pacific
Indonesia,2013,3.69, Asia Pacific
Indonesia,2014,3.62, Asia Pacific
Indonesia,2015,3.6, Asia Pacific
Indonesia,2016,3.31, Asia Pacific
Indonesia,2017,3.17, Asia Pacific
Indonesia,2018,3.15, Asia Pacific
Malaysia,1980,2.31, Asia Pacific
Malaysia,1981,2.29, Asia Pacific
Malaysia,1982,2.57, Asia Pacific
Malaysia,1983,2.95, Asia Pacific
Malaysia,1984,3.07, Asia Pacific
Malaysia,1985,3.02, Asia Pacific
Malaysia,1986,2.91, Asia Pacific
Malaysia,1987,2.92, Asia Pacific
Malaysia,1988,3.05, Asia Pacific
Malaysia,1989,2.94, Asia Pacific
Malaysia,1990,3.04, Asia Pacific
Malaysia,1991,5.61, Asia Pacific
Malaysia,1992,6.12, Asia Pacific
Malaysia,1993,4.3, Asia Pacific
Malaysia,1994,4.11, Asia Pacific
Malaysia,1995,4, Asia Pacific
Malaysia,1996,3.85, Asia Pacific
Malaysia,1997,3.88, Asia Pacific
Malaysia,1998,3.42, Asia Pacific
Malaysia,1999,3.39, Asia Pacific
Malaysia,2000,3.39, Asia Pacific
Malaysia,2001,4.23, Asia Pacific
Malaysia,2002,4.55, Asia Pacific
Malaysia,2003,4.84, Asia Pacific
Malaysia,2004,5.16, Asia Pacific
Malaysia,2005,5.25, Asia Pacific
Malaysia,2006,5.36, Asia Pacific
Malaysia,2007,5.46, Asia Pacific
Malaysia,2008,5.52, Asia Pacific
Malaysia,2009,5.8, Asia Pacific
Malaysia,2010,5.86, Asia Pacific
Malaysia,2011,4.85, Asia Pacific
Malaysia,2012,5.04, Asia Pacific
Malaysia,2013,4.51, Asia Pacific
Malaysia,2014,3.8, Asia Pacific
Malaysia,2015,3.6, Asia Pacific
Malaysia,2016,3.02, Asia Pacific
Malaysia,2017,3.02, Asia Pacific
Malaysia,2018,3.02, Asia Pacific
Other Asia Pacific,1980,0.99, Asia Pacific
Other Asia Pacific,1981,1.09, Asia Pacific
Other Asia Pacific,1982,1.08, Asia Pacific
Other Asia Pacific,1983,1.11, Asia Pacific
Other Asia Pacific,1984,1.1, Asia Pacific
Other Asia Pacific,1985,1.17, Asia Pacific
Other Asia Pacific,1986,0.68, Asia Pacific
Other Asia Pacific,1987,0.67, Asia Pacific
Other Asia Pacific,1988,0.98, Asia Pacific
Other Asia Pacific,1989,0.95, Asia Pacific
Other Asia Pacific,1990,1.01, Asia Pacific
Other Asia Pacific,1991,0.91, Asia Pacific
Other Asia Pacific,1992,0.87, Asia Pacific
Other Asia Pacific,1993,1.09, Asia Pacific
Other Asia Pacific,1994,1.08, Asia Pacific
Other Asia Pacific,1995,1.07, Asia Pacific
Other Asia Pacific,1996,1.33, Asia Pacific
Other Asia Pacific,1997,1.2, Asia Pacific
Other Asia Pacific,1998,1.34, Asia Pacific
Other Asia Pacific,1999,1.42, Asia Pacific
Other Asia Pacific,2000,1.31, Asia Pacific
Other Asia Pacific,2001,1.25, Asia Pacific
Other Asia Pacific,2002,1.11, Asia Pacific
Other Asia Pacific,2003,1.43, Asia Pacific
Other Asia Pacific,2004,1.45, Asia Pacific
Other Asia Pacific,2005,1.42, Asia Pacific
Other Asia Pacific,2006,1.39, Asia Pacific
Other Asia Pacific,2007,1.27, Asia Pacific
Other Asia Pacific,2008,1.26, Asia Pacific
Other Asia Pacific,2009,1.12, Asia Pacific
Other Asia Pacific,2010,1.11, Asia Pacific
Other Asia Pacific,2011,1.1, Asia Pacific
Other Asia Pacific,2012,1.07, Asia Pacific
Other Asia Pacific,2013,1.3, Asia Pacific
Other Asia Pacific,2014,1.23, Asia Pacific
Other Asia Pacific,2015,1.26, Asia Pacific
Other Asia Pacific,2016,1.18, Asia Pacific
Other Asia Pacific,2017,1.17, Asia Pacific
Other Asia Pacific,2018,1.18, Asia Pacific
Thailand,1980,0, Asia Pacific
Thailand,1981,0.02, Asia Pacific
Thailand,1982,0.03, Asia Pacific
Thailand,1983,0.03, Asia Pacific
Thailand,1984,0.06, Asia Pacific
Thailand,1985,0.11, Asia Pacific
Thailand,1986,0.1, Asia Pacific
Thailand,1987,0.1, Asia Pacific
Thailand,1988,0.1, Asia Pacific
Thailand,1989,0.23, Asia Pacific
Thailand,1990,0.26, Asia Pacific
Thailand,1991,0.22, Asia Pacific
Thailand,1992,0.18, Asia Pacific
Thailand,1993,0.22, Asia Pacific
