"","date_data_unlist","auteur_data_unlist","titre_data_unlist","resume_data_unlist"
"19","Septembre 2017","Malika Rahal","L'UDMA et les Udmistes"," Essai - 520p..L'apport de l'UDMA (Union démocratique du Manifeste algérien) au mouvement nationaliste a toujours été minimisé par l'histoire dominante. Le parti n'aurait été qu'un ""rassemblement"" - cristallisé autour de la figure charismatique de Ferhat Abbas - de notables, laïcs, francophones, sourds à ""la mystique de la rupture"", ayant échoué à conduire pacifiquement l'Algérie à l'indépendance. Autant de préjugés que, dans ce livre exhaustif, l'historienne Malika Rahal démonte avec rigueur..Elle y retrace ses dix ans d'existence (1946-1956), en décrit la culture politique spécifique, et étudie les références historiques, philosophiques ou religieuses, les valeurs morals et politiques, le vocabulaire, les rituels, les sociabilités, les trajectoires individuelles de ce parti tout entier organisé autour de son journal, Egalité-La République algérienne, pour révéler l'épaisseur humaine d'une structure partisane..On découvre un  militantisme plus actif et frondeur dans certaines sections que dans d'autres, des affinités avec l'Association des 'Ulama parfois si puissantes que les deux organisations se confondent localement. L'on comprend surtout que, durant cette décennie où se concurrencent UDMA, PPA-MTLD, 'Ulama, et PCA- période durant laquelle la pluralité est constamment mise en tension avec le désir d'union des indépendistes -, se jouent des questions aussi décisives que la définition de soi et l'imagination du système politique à venir..Ainsi, au-delà du rôle majeur de l'UDMA, Malika Rahal analyse ce moment de l'histoire où le parti politique fut la forme privilégiée de l'action collective : de 1946 à 1956, les Algériens expérimentent dix années de stratégies et de débats politiques, de discussions autour du statut de la religion, de la conception de la nation et du futur Etat indépendant. Expérience inédite dont il est impératif et salutaire de se souvenir aujourd'hui."
"20","Septembre 2017","Kaouther Adimi ","Nos richesses"," Littérature - Roman - 216p..Un soir, Ryad, 20 ans, étudiant à Paris, arrive à Alger; il se rend au 2 bis de la rue Hamani, ex-Charras, avec les clés des Vraies richesses, minuscule librairie délabrée : sa mission est de faire place nette. Il s'y attelle sans état d'âme, lui que les livres indiffèrent, mais c'est compter sans le vieux Abdallah, gardien du temple, qui va progressivement l'initier à la magie du lieu..Car Ryad ignore tout du passé de l'endroit -  poumon de la vie culturelle dans l'Alger colonial des années 30-40 -, animé par Edmond Charlot, libraire et éditeur passionné, proche de Jean Sénac et de Jean El Mouhoum Amrouche et qui, entre autres, révélera le jeune Albert Camus..Ce roman, où alternent le journal (fictif) d'Edmond Charlot et le quotidien d'une rue algéroise en 2017, explore intelligemment l'épineuse question de la transmission d'un héritage. Il y a d'ailleurs ce ""nous"" qui court tout le long du texte, telle la voix d'une conscience, celle d'une mémoire collective nous engageant, nous lecteurs, à transformer cette fiction en fragment de notre histoire..."
"21","Aout 2017","Kamel Daoud","Zabor ou les psaumes"," Littérature - Roman - 332p..Dans un village reculé, entre désert et forêt, Zabor, orphelin d'une mère répudiée, rejeté par son père, vivant avec sa tante perdue dans ses rêves et un grand-père aphasique, se découvre le don prodigieux de pouvoir prolonger la vie des autres par le simple fait d'écrire. Ironie du sort, il est, un soir, appelé au chevet de son père mourant....Zabor ou les psaumes, fable autant que confession, est le roman de formation d'une âme torturée qui se livre sur sa découverte des puissances telluriques de la langue, de l'écriture et du corps, s'inventant une manière libre, radicale de défier la mort par l'imaginaire..dans un jeu subtil de mise en abîme permanent, Kamel Daoud nous promène et nous égare dans son panthéon littéraire où figurent aussi bien les livres sacrés- source d'une quête infinie- que les Mille et une nuits ou L'île au trésor. En écrivain-démiurge, il déploie avec grâce et lyrisme une poétique singulière, reposant in fine la plus ancienne des questions : ""Peut-on sauver le monde par un livre?""."
"22","Mai 2017","Rachid Benyelles","Dans les arcanes du pouvoir"," Essai - 416p..Voici les mémoires d'un général à la retraite, Rachid Benyelles, mêlant remarquablement histoire individuelle - le destin d'un homme -, et grande Histoire - le destin d'un pays, l'Algérie, de 1962 à 1999..Dans la première partie, l'auteur revient sur sa jeunesse (Tlemcen), son engagement dans l'9 et, après 1962, sa longue carrière dans la Marine suivie de sa nomination, en 1984, au poste de Secrétaire général du ministère de la Défense. Dans la seconde partie, qui débute après la rupture d'octobre 1988, le récit est celui d'un homme en retrait, encore très influent cependant, dont l'indépendance et le courage s'illustrent en particulier dans sa position de ""réconciliateur"" pendant la décennie noire..Tout au long de ce récit, se dessine le profil d'un patriote, qui, bien qu'au coeur du système et côtoyant ses hommes forts, défend une éthique, obnubilé par le sens de l'Etat ainsi que l'autonomie politique et financière de son pays. Si l'on devine ses affinités (son admiration pour Boumediene, une certaine affection pour Chadli Bendjedid), retenue et distance sont de rigueur - il ne juge pas, ne règle pas de comptes, son témoignage tend vers le plus d'ompartialité possible..Quarante années de l'histoire du pays sont ainsi passées au crible, où sont révélés, au-delà de certaines anecdotes édifiantes, les mécanismes de décision en Algérie. Rarement le pouvoir et ses arcanes auront été décrits avec autant de précision. Par la connaissance intime qu'il a eue de l'Armée nationale populaire, le général Benyelles, tout en demeurant loyal à cette institution importante, livre un constat sans concession sur sa place dans le système politique. Il jette, au passage, un éclairage décisif sur des questions aussi sensibles que le rôle des officiers DAF (Déserteurs de l'armée française), ou celui de la Sécurité militaire."
"23","Avril 2017","Samir Kacimi","L'amour au tournant"," Littérature - Roman - 135 x 205 - 192p..A quatre-vingtans, Nordine Boukhalfa, est un ancien chirurgien-dentiste, veuf solitaire, qui rumine en permanence des idées noires et reste persuadé que chaque jour nouveau est superflu. Il est dans un square d'Alger, lorsqu'un inconnu vient s'asseoir à côté de lui et, sans lui laisser vraiment le choix, engage la conversation. La liberté de ton et l'optimisme étonnant de ce vieux sage excentrique ne tardent pas à piquer sa curiosité..C'est ainsi que le deux vénérables compères décident de poursuivre leur discussion en marchant dans la ville. Ils feront la tournée des bars et des restaurants, et aussi le tour d'une grande question : un homme peut-il se passer de l'amour, fût-il près de l'hiver de sa vie que de son automne ?"
"24","Mars 2017","Amara Lakhous ","L'affaire de la pucelle de la rue Ormea"," Littérature - Roman - 115 x 205 - 200p..Scandale au coeur de Turin : une adolescente de quinze ans accuse de viol deux roms. Une campagne anti-Roms se déchaîne sans complexe, attisée par une presse à charge. Le journaliste Enzo Laganà est missionné pour couvrir ce trouble fait divers..Rumeurs insidieuses, jeux de miroirs et faux-semblants : Amara Lakhous confronte avec acuité les sociétés occidentales à leur hypocrisie. Dès lors que la vie d'un être humain vaut moins que celle d'un chien, et que l'on condamne aveuglément le prétendu ""voleur de poules"" en laissant le libéralisme broyer en masse les petits épargnants, le romancier fourbit ses armes et nous pique au vif avec celle de l'humour."
"25","Janvier 2017","Kamel Daoud","Mes indépendances"," Essai - 145 x 230 - 468p..Journaliste et chroniqueur au Quotidien d'Oran depuis le milieu des années 90, KAMEL DAOUD a depuis toujours usé de sa plume incisive pour disséquer le monde autour de lui. Au fil des miliers de textes écrits notamment pour sa chronique ""Raïna raïkoum"", qu'il a tenue durant près de 20 ans, c'est tout un pan de l'histoire qu'il traverse et interroge..Ce recueil regroupe ainsi 186 chroniques extraites d'un corpus de plus de 2000 textes parus entre 2010 et 2016 : des prémices du ""Printemps arabe"" à la ""crise"" des réfugiés, des élections présidentielles algériennes à la guerre en Syrie et à l'installation de la fragile démocratie tunisienne... ce sont autant d'instantanés de la vie politique, sociale ou culturelle de l'Algérie et du monde où le chroniqueur donne libre cours à sa subjectivité, ses émotions et ses colères. Au risque, parfois, que s'installe le malentendu. Régulièrement, en outre, on y rencontre l'écrivain et ses textes qui ébauchent une fiction, relatent un voyage, s'amusent d'une bizarrerie de notre époque moderne..A l'instar d'une génération de chroniquers algériens, Kamel Daoud a érigé la chronique en exercice de style, où l'insolence le dispute à l'inventivité mais où il s'agit d'abord de défendre sa liberté d'être et de jugement."
"26","Octobre 2016","Sébastien Lapaque","Théorie d'Alger"," Littérature - Roman - 115 x 190 - 112p..Dans le sillage de ses livres Théorie de la carte postale et Théorie de Rio, Sébastien Lapaque poursuit ses voyages érudits et amoureux..La ville blanche- il séjourne plusieurs fois à Alger entre 2009 et 2015 - lui offre l'occasion d'une déambulation dans le passé et le présent en forme de va et vient à la fois grave et léger. Il y est question de mémoire, mais aussi de football, de cimetières d'oiseaux, de taxis...Nulle nostalgie ici, mais un tissage délicat et poétique..On lui emboîte le pas, on emprunte ses chemins, on se passionne pour ses paysages et ses lectures - et ses espoirs têtus. Et peut-être ici plus encore qu'ailleurs, on adopte sa philosophie du voyageur : ""Bien dormir, beaucoup rêver."""
"27","Octobre 2016","H'mida Ayachi","Dédales"," Littérature - Roman - 160 x 230 - 272p..Algérie, années 1990..De Makedra - village proche de Sidi Bel Abbès - à Alger, en cinq chapitres comme autant de dédales, au récit de H'midou, le héros-narrateur et de H'mida, son alter-ego journaliste et écrivain, se mêlent monologues, poèmes, rêves, coupures de presse, souvenirs d'enfance, bribes de textes sur l'histoire islamique de l'Algérie et incantations hypnotiques..Dédales, paru en arabe en septembre 2000, est un roman halluciné qui, entre transe, terreur et foisonnement de voix, tente de restituer la folie et la tourmente des années de guerre et de violence. Roman-collage aussi, il reflète l'expérience théâtrale de l'auteur et la diversité de ses références: des Mille et une nuits à la chanson raï, des textes sacrés à la poésie arabe contemporaine, en passant par Beckett, Faulkner ou Artaud..La traduction de Lotfi Nia, véritable tour de force et fruit de deux années de travail, décuple la singularité de ce texte à l'ambition remarquable."
"28","Octobre 2016","Assia Djebar","Oran, langue morte"," Littérature - Roman - 110 x 175 - 384p..Une jeune Algérienne revient à Oran pour la mort de sa tante et revit les circonstances du meurtre de sa mère, en 1962; une Normande catholique, mère de huit enfants franco-algériens, est enterrée en grande pompe au cimetière musulman du village de son époux; une institutrice signe son arrêt de mort en racontant à ses élèves l'histoire de la femme découpée en morceaux....Entre folie meurtrière et résistance farouche, des femmes tentent de survivre dans le quotidien ensanglanté de l'Algérie de ces dernières décennies.Au fil des sept textes de ce recueil, c'est la respiration heurtée d'un pays en proie à la violence que fait entendre Assia Djebar, dans une oeuvre tragique où esthétique et réalité n'ont nulle complaisance l'une envers l'autres."
"29","Octobre 2016","Assia Djebar","Les nuits de Strasbourg"," Littérature - Roman - 110 x 175 - 384p..Pour retrouver François, un amant de vingt ans son aîné, Thelja quitte Paris. Les amours brèves mais fulgurantes de cette femme, qu'un mari et un enfant attendent à Alger, et de ce Français veuf, tourmenté par le passé, dureront neuf nuits. Neuf nuits au cours desquelles se conjugueront leurs désirs, leurs émois, leurs plaisirs. Au dehors, la ville de Strasbourg se remet de son histoire récente et abrite d'autres personnages aussi troublants que les deux premiers : Eve, une petite juive enceinte des oeuvres d'un jeune Allemand, Jacqueline, qui monte Antigone dans un théâtre de banlieue, et d'autres encore, ombres qui hantent la scène avec leurs mémoires vives et sensibles..Cantique d'amour, ode aux saveurs de la vie, ce roman ne manque pourtant pas d'exposer ses héros, sans fard, aux regards impitoyables de l'Histoire."
"30","Octobre 2016","Samir Toumi","L'effacement"," Littérature - Roman - 115 x 190 - 216p..Le jour de ses 44 ans, le narrateur ne voit plus son reflet dans le miroir. Il découvre alors qu'il est atteint du ""syndrome de l'effacement"", mal étrange qui semble frapper exclusivement les fils d'anciens combattants de la guerre de Libération..Au gré de ces effacements, la nature profonde du personnage - indifférent, taciturne, absent à lui-même- se métamorphose peu à peu. Alors qu'il tente de comprendre ce qui lui arrive, les questions du Dr B., son thérapeute, le poussent à s'intéresser à sa filiation et au milieu dans lequel il a grandi, questions qui, jusque là, ne s'étaient jamais posées à lui..En faisant le portrait de deux générations- les ""pères"", sûrs d'eux-mêmes et bâtisseurs d'un pays neuf; les ""fils"", blessés, comme condamnés à la folie-, Samir Toumi aborde le sujet crucial de la transmission..Après Alger, le cri, l'auteur témoigne, cette fois encore, d'un sens aigu de l'observation, posant un regard lucide sur sa société et son histoire tourmentée."
